	" ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА 
на душу населения и по основным социально-демографическим группам населения 
в целом по Российской Федерации и по субъектам Российской Федерации1)"																																																									
																																																								рублей в месяц		
	2013				2014				2015				2016				2017				2018				2019				2020				2021				 c 1 января 2022 г.				" c 1 июня 2022 г.
(с учетом индексации ВПМ на 10%)"				2023				2024				2025					
	Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения				
		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		
Российская Федерация	7 306	7 871	5 998	7 022	8 050	8 683	6 617	7 752	9 701	10 455	7 965	9 472	9 828	10 598	8 081	9 660	10 088	10 899	8 315	9 925	10 287	11 125	8 483	10 150	10 890	11 809	9 002	10 703	11 312	12 235	9 308	11 216	11 653	12 702	10 022	11 303	12 6542)	13 793	10 882	12 274	13 9193)	15 172	11 970	13 501	14 3754)	15 669	12 363	13 944	15 4535)	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Краснодарский край	7 021	7 608	5 843	6 632	7 701	8 332	6 413	7 318	9 349	10 111	7 749	8 946	9 732	10 525	8 056	9 333	10 062	10 882	8 335	9 639	10 209	11 030	8 451	9 828	10 854	11 750	8 981	10 368	11 190	12 089	9 235	10 820	11 397	12 298	9 922	11 114	12 148	13 241	10 447	11 784	13 363	14 565	11 492	12 962	13 800	15 042	11 868	13 386	14 835	16 170	12 758	14 390	17 024	18 556	14 641	16 513		
Астраханская область	6 176	6 583	4 922	6 230	6 916	7 282	5 587	7 307	8 452	8 886	6 822	9 043	8 845	9 290	7 134	9 548	9 363	9 854	7 562	10 089	9 538	10 025	7 778	10 270	10 345	10 838	8 666	11 020	10 716	11 200	8 924	11 536	11 069	11 400	9 621	11 862	12 274	13 379	10 556	12 882	13 501	14 717	11 612	14 170	13 944	15 199	11 992	14 638	14 989	16 338	12 891	15 297	17 201	18 749	14 793	16 685		
Волгоградская область	6 739	7 274	5 515	6 611	7 487	8 080	6 130	7 348	8 889	9 569	7 243	8 868	8 991	9 663	7 315	9 050	9 096	9 757	7 387	9 247	9 146	9 809	7 449	9 267	9 686	10 408	7 895	9 728	9 877	10 600	8 012	10 030	10 158	10 892	9 020	10 414	10 882	11 861	9 381	10 831	11 970	13 047	10 319	11 914	12 363	13 476	10 660	12 307	13 290	14 486	11 429	12 891	15 250	16 623	13 115	14 793		
Ростовская область	6 978	7 436	5 678	7 211	7 763	8 269	6 315	8 039	9 386	9 984	7 627	9 784	9 565	10 170	7 753	10 021	9 667	10 280	7 832	10 126	9 675	10 282	7 843	10 153	10 337	11 013	8 384	10 733	10 793	11 481	8 722	11 329	11 053	11 753	9 445	11 642	11 895	12 966	10 230	12 108	13 085	14 263	11 253	13 319	13 513	14 729	11 621	13 759	14 526	15 833	12 492	14 378	16 669	18 169	14 335	16 169		
г. Севастополь									8 771	9 427	7 238	9 067	9 757	10 461	8 023	10 250	10 106	10 821	8 299	10 621	10 152	10 855	8 328	10 736	11 088	11 888	9 134	11 667	11 249	12 021	9 195	12 100	11 380	12 164	9 862	12 276	12 654	13 793	10 882	13 332	13 919	15 172	11 970	14 665	14 519	15 826	12 486	15 560	15 762	17 181	13 555	16 182	18 088	19 716	15 556	17 545		
Северо-Кавказский федеральный округ																																																										
Республика Дагестан	6 674	6 962	5 352	6 573	7 222	7 517	5 771	7 157	8 708	9 030	6 925	8 726	9 066	9 361	7 184	9 121	9 405	9 682	7 426	9 538	9 262	9 528	7 329	9 405	9 780	10 082	7 742	9 878	10 333	10 603	8 128	10 573	10 628	10 987	9 020	10 757	11 515	12 551	9 903	11 499	12 667	13 806	10 893	12 649	13 081	14 258	11 250	13 066	14 062	15 328	12 093	13 745	16 137	17 589	13 878	15 653		
Республика Ингушетия	6 094	6 357	4 860	5 935	7 254	7 492	5 838	7 421	8 704	9 019	6 900	8 847	8 961	9 255	7 125	9 051	9 020	9 302	7 129	9 220	9 703	9 605	7 362	9 632	10 173	10 215	7 777	10 190	10 369	10 577	8 131	10 843	10 964	10 995	8 590	11 500	11 895	12 966	10 230	12 190	13 085	14 263	11 253	13 409	13 513	14 729	11 621	13 851	14 526	15 833	12 492	14 294	16 669	18 169	14 335	16 169		
Кабардино-Балкарская Республика	6 585	6 957	5 306	6 514	7 071	7 477	5 658	7 006	8 784	9 225	7 034	8 820	10 586	10 968	8 183	11 506	10 757	11 162	8 438	11 691	10 633	11 000	8 343	11 515	11 576	12 000	8 998	12 519	11 799	12 253	9 193	12 670	12 576	12 998	9 679	13 815	13 540	14 759	11 644	14 368	14 894	16 235	12 808	15 805	15 381	16 765	13 228	16 769	16 535	18 023	14 220	17 440	18 974	20 682	16 318	18 405		
Карачаево-Черкесская Республика	6 552	6 936	5 329	6 511	7 120	7 553	5 757	7 090	8 667	9 135	6 986	8 757	8 806	9 299	7 102	8 987	9 022	9 523	7 300	9 171	9 257	9 739	7 518	9 515	9 897	10 456	8 002	10 077	10 256	10 822	8 296	10 652	10 451	11 024	8 444	11 051	11 515	12 551	9 903	12 001	12 667	13 806	10 893	13 201	13 225	14 415	11 374	13 637	14 371	15 664	12 359	14 182	16 669	18 169	14 335	16 169		
